claim_id,official_parent,design_variable,design_level,identifiable,n_strata,n_seed_effects,reason
H5a,h5_model_scale,persona_format,tabular,False,0,0,"one or both claim arms are absent at this design level, or no matched context exists"
H5b,h5_model_scale,instruction_wording,descending-range,False,0,0,"one or both claim arms are absent at this design level, or no matched context exists"
H5b,h5_model_scale,instruction_wording,numbers-as-words,False,0,0,"one or both claim arms are absent at this design level, or no matched context exists"
H5b,h5_model_scale,instruction_wording,paraphrase-a,False,0,0,"one or both claim arms are absent at this design level, or no matched context exists"
H5b,h5_model_scale,instruction_wording,paraphrase-b,False,0,0,"one or both claim arms are absent at this design level, or no matched context exists"
H5b,h5_model_scale,response_format,bare-number,False,0,0,"one or both claim arms are absent at this design level, or no matched context exists"
H5b,h5_model_scale,temperature,1.0,True,3,15,matched claim arms exist under the non-default design level
H5b,h5_model_scale,persona_format,descriptive,False,0,0,"one or both claim arms are absent at this design level, or no matched context exists"
H5b,h5_model_scale,persona_format,tabular,False,0,0,"one or both claim arms are absent at this design level, or no matched context exists"
H6a,h6_persona_disposition,instruction_wording,descending-range,False,0,0,"one or both claim arms are absent at this design level, or no matched context exists"
H6a,h6_persona_disposition,instruction_wording,numbers-as-words,False,0,0,"one or both claim arms are absent at this design level, or no matched context exists"
H6a,h6_persona_disposition,instruction_wording,paraphrase-a,False,0,0,"one or both claim arms are absent at this design level, or no matched context exists"
H6a,h6_persona_disposition,instruction_wording,paraphrase-b,False,0,0,"one or both claim arms are absent at this design level, or no matched context exists"
H6a,h6_persona_disposition,response_format,bare-number,False,0,0,"one or both claim arms are absent at this design level, or no matched context exists"
H6a,h6_persona_disposition,temperature,1.0,False,0,0,"one or both claim arms are absent at this design level, or no matched context exists"
H6a,h6_persona_disposition,persona_format,descriptive,False,0,0,"one or both claim arms are absent at this design level, or no matched context exists"
H6a,h6_persona_disposition,persona_format,tabular,False,0,0,"one or both claim arms are absent at this design level, or no matched context exists"
H6b,h6_persona_disposition,instruction_wording,descending-range,False,0,0,"one or both claim arms are absent at this design level, or no matched context exists"
H6b,h6_persona_disposition,instruction_wording,numbers-as-words,False,0,0,"one or both claim arms are absent at this design level, or no matched context exists"
H6b,h6_persona_disposition,instruction_wording,paraphrase-a,False,0,0,"one or both claim arms are absent at this design level, or no matched context exists"
H6b,h6_persona_disposition,instruction_wording,paraphrase-b,False,0,0,"one or both claim arms are absent at this design level, or no matched context exists"
H6b,h6_persona_disposition,response_format,bare-number,False,0,0,"one or both claim arms are absent at this design level, or no matched context exists"
H6b,h6_persona_disposition,temperature,1.0,False,0,0,"one or both claim arms are absent at this design level, or no matched context exists"
H6b,h6_persona_disposition,persona_format,descriptive,False,0,0,"one or both claim arms are absent at this design level, or no matched context exists"
H6b,h6_persona_disposition,persona_format,tabular,False,0,0,"one or both claim arms are absent at this design level, or no matched context exists"
