seed,action_prompt,model,interaction_pathway,treatment_value,treatment_condition,treatment_tar_member,reference_value,reference_condition,reference_tar_member,signed_effect,stratum_id,claim_id,official_parent,design_variable,design_level,persona_richness
7003,deliberate,qwen3.5-4b,closed,0.9198240310250188,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-4b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-4b/seed_7003/run/action_events.jsonl.gz,0.7558976872944922,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b/seed_7003/run/action_events.jsonl.gz,0.1639263437305265,action_prompt=deliberate|model=qwen3.5-4b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7004,deliberate,qwen3.5-4b,closed,0.9153034483875742,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-4b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-4b/seed_7004/run/action_events.jsonl.gz,0.7354866844190997,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b/seed_7004/run/action_events.jsonl.gz,0.17981676396847446,action_prompt=deliberate|model=qwen3.5-4b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7005,deliberate,qwen3.5-4b,closed,0.9151362676152192,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-4b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-4b/seed_7005/run/action_events.jsonl.gz,0.7485997949241903,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b/seed_7005/run/action_events.jsonl.gz,0.1665364726910289,action_prompt=deliberate|model=qwen3.5-4b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7006,deliberate,qwen3.5-4b,closed,0.9243066145198091,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-4b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-4b/seed_7006/run/action_events.jsonl.gz,0.7597869883459254,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b/seed_7006/run/action_events.jsonl.gz,0.16451962617388372,action_prompt=deliberate|model=qwen3.5-4b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7007,deliberate,qwen3.5-4b,closed,0.9209596269944827,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-4b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-4b/seed_7007/run/action_events.jsonl.gz,0.754986319154429,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b/seed_7007/run/action_events.jsonl.gz,0.1659733078400537,action_prompt=deliberate|model=qwen3.5-4b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7008,deliberate,qwen3.5-4b,closed,0.9230042106514247,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-4b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-4b/seed_7008/run/action_events.jsonl.gz,0.757766166613264,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b/seed_7008/run/action_events.jsonl.gz,0.16523804403816067,action_prompt=deliberate|model=qwen3.5-4b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7001,deliberate,gemma-4-31b,closed,0.9132400781072916,persona_richness-demographic__action_prompt-deliberate__model-gemma-4-31b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-gemma-4-31b/seed_7001/run/action_events.jsonl.gz,0.9001690136037853,persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b/seed_7001/run/action_events.jsonl.gz,0.013071064503506258,action_prompt=deliberate|model=gemma-4-31b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7002,deliberate,gemma-4-31b,closed,0.9145755435761436,persona_richness-demographic__action_prompt-deliberate__model-gemma-4-31b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-gemma-4-31b/seed_7002/run/action_events.jsonl.gz,0.8913036467432648,persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b/seed_7002/run/action_events.jsonl.gz,0.02327189683287878,action_prompt=deliberate|model=gemma-4-31b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7003,deliberate,gemma-4-31b,closed,0.9101995669133849,persona_richness-demographic__action_prompt-deliberate__model-gemma-4-31b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-gemma-4-31b/seed_7003/run/action_events.jsonl.gz,0.8914791922518447,persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b/seed_7003/run/action_events.jsonl.gz,0.018720374661540196,action_prompt=deliberate|model=gemma-4-31b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7004,deliberate,gemma-4-31b,closed,0.9170841728773822,persona_richness-demographic__action_prompt-deliberate__model-gemma-4-31b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-gemma-4-31b/seed_7004/run/action_events.jsonl.gz,0.9007028309844152,persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b/seed_7004/run/action_events.jsonl.gz,0.016381341892967027,action_prompt=deliberate|model=gemma-4-31b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7005,deliberate,gemma-4-31b,closed,0.9103704659179553,persona_richness-demographic__action_prompt-deliberate__model-gemma-4-31b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-gemma-4-31b/seed_7005/run/action_events.jsonl.gz,0.9029510302156243,persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b/seed_7005/run/action_events.jsonl.gz,0.007419435702331056,action_prompt=deliberate|model=gemma-4-31b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7006,deliberate,gemma-4-31b,closed,0.9108210393101164,persona_richness-demographic__action_prompt-deliberate__model-gemma-4-31b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-gemma-4-31b/seed_7006/run/action_events.jsonl.gz,0.9018901377345672,persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b/seed_7006/run/action_events.jsonl.gz,0.00893090157554921,action_prompt=deliberate|model=gemma-4-31b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7007,deliberate,gemma-4-31b,closed,0.9170282538318016,persona_richness-demographic__action_prompt-deliberate__model-gemma-4-31b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-gemma-4-31b/seed_7007/run/action_events.jsonl.gz,0.904039811064282,persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b/seed_7007/run/action_events.jsonl.gz,0.012988442767519648,action_prompt=deliberate|model=gemma-4-31b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7008,deliberate,gemma-4-31b,closed,0.9145273800091397,persona_richness-demographic__action_prompt-deliberate__model-gemma-4-31b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-gemma-4-31b/seed_7008/run/action_events.jsonl.gz,0.9004229812497158,persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b/seed_7008/run/action_events.jsonl.gz,0.01410439875942393,action_prompt=deliberate|model=gemma-4-31b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7001,reactive,qwen3.5-27b-fp8,closed,0.9116365874028001,persona_richness-demographic__action_prompt-reactive__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-reactive__model-qwen3.5-27b-fp8/seed_7001/run/action_events.jsonl.gz,0.9141743271285913,persona_richness-generic__action_prompt-reactive__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-reactive__model-qwen3.5-27b-fp8/seed_7001/run/action_events.jsonl.gz,-0.0025377397257911882,action_prompt=reactive|model=qwen3.5-27b-fp8|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7002,reactive,qwen3.5-27b-fp8,closed,0.9134896544805009,persona_richness-demographic__action_prompt-reactive__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-reactive__model-qwen3.5-27b-fp8/seed_7002/run/action_events.jsonl.gz,0.9056045270356103,persona_richness-generic__action_prompt-reactive__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-reactive__model-qwen3.5-27b-fp8/seed_7002/run/action_events.jsonl.gz,0.00788512744489056,action_prompt=reactive|model=qwen3.5-27b-fp8|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7003,reactive,qwen3.5-27b-fp8,closed,0.9064807107503905,persona_richness-demographic__action_prompt-reactive__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-reactive__model-qwen3.5-27b-fp8/seed_7003/run/action_events.jsonl.gz,0.9058185358530313,persona_richness-generic__action_prompt-reactive__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-reactive__model-qwen3.5-27b-fp8/seed_7003/run/action_events.jsonl.gz,0.0006621748973592023,action_prompt=reactive|model=qwen3.5-27b-fp8|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7004,reactive,qwen3.5-27b-fp8,closed,0.9100632554254713,persona_richness-demographic__action_prompt-reactive__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-reactive__model-qwen3.5-27b-fp8/seed_7004/run/action_events.jsonl.gz,0.9067097825337624,persona_richness-generic__action_prompt-reactive__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-reactive__model-qwen3.5-27b-fp8/seed_7004/run/action_events.jsonl.gz,0.003353472891708842,action_prompt=reactive|model=qwen3.5-27b-fp8|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7005,reactive,qwen3.5-27b-fp8,closed,0.9104411769953697,persona_richness-demographic__action_prompt-reactive__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-reactive__model-qwen3.5-27b-fp8/seed_7005/run/action_events.jsonl.gz,0.9068401124423775,persona_richness-generic__action_prompt-reactive__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-reactive__model-qwen3.5-27b-fp8/seed_7005/run/action_events.jsonl.gz,0.0036010645529922503,action_prompt=reactive|model=qwen3.5-27b-fp8|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7006,reactive,qwen3.5-27b-fp8,closed,0.9133542718867625,persona_richness-demographic__action_prompt-reactive__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-reactive__model-qwen3.5-27b-fp8/seed_7006/run/action_events.jsonl.gz,0.8940695810879652,persona_richness-generic__action_prompt-reactive__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-reactive__model-qwen3.5-27b-fp8/seed_7006/run/action_events.jsonl.gz,0.019284690798797355,action_prompt=reactive|model=qwen3.5-27b-fp8|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7007,reactive,qwen3.5-27b-fp8,closed,0.9139276835660782,persona_richness-demographic__action_prompt-reactive__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-reactive__model-qwen3.5-27b-fp8/seed_7007/run/action_events.jsonl.gz,0.907005470687267,persona_richness-generic__action_prompt-reactive__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-reactive__model-qwen3.5-27b-fp8/seed_7007/run/action_events.jsonl.gz,0.006922212878811229,action_prompt=reactive|model=qwen3.5-27b-fp8|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7008,reactive,qwen3.5-27b-fp8,closed,0.9102478485848123,persona_richness-demographic__action_prompt-reactive__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-reactive__model-qwen3.5-27b-fp8/seed_7008/run/action_events.jsonl.gz,0.9023014550788255,persona_richness-generic__action_prompt-reactive__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-reactive__model-qwen3.5-27b-fp8/seed_7008/run/action_events.jsonl.gz,0.007946393505986804,action_prompt=reactive|model=qwen3.5-27b-fp8|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7001,reactive,qwen3.5-9b,closed,0.9014866110130773,persona_richness-demographic__action_prompt-reactive__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-reactive__model-qwen3.5-9b/seed_7001/run/action_events.jsonl.gz,0.802634597580688,persona_richness-generic__action_prompt-reactive__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-reactive__model-qwen3.5-9b/seed_7001/run/action_events.jsonl.gz,0.09885201343238925,action_prompt=reactive|model=qwen3.5-9b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7002,reactive,qwen3.5-9b,closed,0.9100435337789939,persona_richness-demographic__action_prompt-reactive__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-reactive__model-qwen3.5-9b/seed_7002/run/action_events.jsonl.gz,0.8043657491916876,persona_richness-generic__action_prompt-reactive__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-reactive__model-qwen3.5-9b/seed_7002/run/action_events.jsonl.gz,0.10567778458730637,action_prompt=reactive|model=qwen3.5-9b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7003,reactive,qwen3.5-9b,closed,0.9095950096919448,persona_richness-demographic__action_prompt-reactive__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-reactive__model-qwen3.5-9b/seed_7003/run/action_events.jsonl.gz,0.8424061196090745,persona_richness-generic__action_prompt-reactive__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-reactive__model-qwen3.5-9b/seed_7003/run/action_events.jsonl.gz,0.06718889008287032,action_prompt=reactive|model=qwen3.5-9b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7004,reactive,qwen3.5-9b,closed,0.9072793323733441,persona_richness-demographic__action_prompt-reactive__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-reactive__model-qwen3.5-9b/seed_7004/run/action_events.jsonl.gz,0.8077001723623222,persona_richness-generic__action_prompt-reactive__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-reactive__model-qwen3.5-9b/seed_7004/run/action_events.jsonl.gz,0.09957916001102196,action_prompt=reactive|model=qwen3.5-9b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
